iata_apt,lat,lng,pt_airport
AIP,31.43305556,75.76055556,Adampur
IXA,23.89,91.24222222,Agartala
AMD,23.07722222,72.63472222,Ahmedabad
ATQ,31.70777778,74.79916667,Amritsar
IXB,26.68111111,88.32861111,Bagdogra
BLR,13.20694444,77.70416667,Bangalore
IXG,15.85916667,74.6175,Belgaum
IXC,30.67472222,76.79055556,Chandigarh
MAA,12.98222222,80.16361111,Chennai
CJB,11.02666667,77.04166667,Coimbatore
DED,30.18972222,78.18027778,Dehradun
DEL,28.56861111,77.11222222,Delhi
DHM,32.218,76.32,Dharamshala
DIB,27.48385278,95.016944,Dibrugarh
GOI,15.38083333,73.83138889,Goa
GOP,26.73970032,83.4496994,Gorakhpur
GAU,26.10611111,91.58583333,Guwahati
HYD,17.24,78.43,Hyderabad
JLR,23.18472222,80.05875,Jabalpur
JAI,26.82416667,75.81222222,Jaipur
JSA,26.88027778,70.855,Jaisalmer
IXY,23.11269951,70.10030365,Kandla
KNU,26.44140053,80.36489868,Kanpur
COK,10.155,76.391,Kochi
CCU,22.65472222,88.44666667,Kolkata
CCJ,11.14,75.95,Kozhikode
IXL,34.13583333,77.54638889,Leh
IXM,9.83361111,78.08944444,Madurai
IXE,12.96138889,74.89,Mangalore
BOM,19.08861111,72.86805556,Mumbai
PAT,25.59361111,85.09194444,Patna
PNY,11.96666667,79.81444444,Pondicherry
PBD,21.64870071,69.65720367,Porbander
IXZ,11.64111111,92.72972222,Port Blair
PNQ,18.58222222,73.91972222,Pune
RJA,17.11027778,81.81833333,Rajahmundry
IXS,24.91290092,92.97869873,Silchar
SXR,33.98713889,74.77425,Srinagar
STV,21.11765833,72.74525833,Surat
TIR,13.63777778,79.54722222,Tirupati
TRV,8.48,76.92,Trivandrum
TCR,8.72416667,78.02583333,Tuticorin
UDR,24.61777778,73.89611111,Udaipur
VNS,25.45222222,82.85944444,Varanasi
VGA,16.52888889,80.79583333,Vijayawada
VTZ,17.72111111,83.22444444,Vizag
nan_Mundra,22.83416667,69.76444444,Mundra
BBI,20.24440002,85.81780243,Bhubaneshwar
IMF,24.76,93.89666667,Imphal
IDR,22.72179985,75.80110168,Indore
NAG,21.09222222,79.04722222,Nagpur
IXR,23.31416667,85.32166667,Ranchi
AGR,27.1575,77.96083333,Agra
AJL,23.84059906,92.61969757,Aizawal
IXU,19.86277778,75.39805556,Aurangabad
BHO,23.2875,77.3375,Bhopal
DMU,25.88388889,93.77111111,Dimapur
GAY,24.74444444,84.95111111,Gaya
HBX,15.36166667,75.08472222,Hubli
IXJ,32.68916667,74.8375,Jammu
JGA,22.46549988,70.01260376,Jamnagar
JDH,26.25111111,73.04888889,Jodhpur
HJR,24.81719971,79.91860199,Khajuraho
LKO,26.76194444,80.88333333,Lucknow
NDC,19.18194444,77.31861111,Nanded
RPR,21.18111111,81.73847222,Raipur
RAJ,22.30920029,70.77950287,Rajkot
BDQ,22.32944444,73.21944444,Vadodara
AGX,10.82805556,72.17888889,Agatti
IXD,25.44,81.73388889,Allahabad
BUP,30.27,74.755556,Bathinda
BHU,21.75222222,72.18527778,Bhavnagar
BHJ,23.28777778,69.67027778,Bhuj
BKB,28.07055556,73.20694444,Bikaner
DIU,20.713,70.925,Diu
GWL,26.29333333,78.22777778,Gwalior
KUU,31.87666667,77.15444444,Kullu
IXI,27.29555556,94.09777778,Lilabari
LUH,30.85472222,75.9525,Ludhiana
IXP,32.23361111,75.63444444,Pathankot
SHL,25.70361111,91.97861111,Shillong
SLV,31.08166667,77.06805556,Shimla
SAG,19.68861111,74.37888889,Shirdi
TEZ,26.71222222,92.78722222,Tezpur
TRZ,10.76527778,78.70972222,Trichy
JRH,26.73150063,94.17549896,Jorhat
nan_Thoise,35.083333,77.633333,Thoise
CDP,14.51,78.77277778,Cuddapah
MYQ,12.23,76.65583333,Mysore
SXV,11.78194444,78.06444444,Salem
VDY,15.175,76.6341,Vidyanagar
PGH,29.032222,79.474167,Pantnagar
