Column1,arr,dep,operator,pt_airport,route
0,DEL,,SG,Adampur,RCS
1,,DEL,SG,Adampur,RCS
2,CCU,,SG,Agartala,
3,,CCU,SG,Agartala,
4,GAU,,SG,Agartala,
5,,GAU,SG,Agartala,
6,CCU,,SG,Agartala,
7,,CCU,SG,Agartala,
8,,BOM,SG,Ahmedabad,
9,,BOM,SG,Ahmedabad,
10,MAA,,SG,Ahmedabad,
11,MAA,,SG,Ahmedabad,
12,MAA,,SG,Ahmedabad,
13,,GOI,SG,Ahmedabad,
14,,GOI,SG,Ahmedabad,
15,,BOM,SG,Ahmedabad,
16,,GOI,SG,Ahmedabad,
17,,BLR,SG,Ahmedabad,
18,,MAA,SG,Ahmedabad,
19,,DEL,SG,Ahmedabad,
20,,MAA,SG,Ahmedabad,
21,,VNS,SG,Ahmedabad,
22,DEL,,SG,Ahmedabad,
23,,BLR,SG,Ahmedabad,
24,,HYD,SG,Ahmedabad,
25,GOI,,SG,Ahmedabad,
26,,BLR,SG,Ahmedabad,
27,GOI,,SG,Ahmedabad,
28,BLR,,SG,Ahmedabad,
29,,JAI,SG,Ahmedabad,
30,VNS,,SG,Ahmedabad,
31,JAI,,SG,Ahmedabad,
32,,GOI,SG,Ahmedabad,
33,MAA,,SG,Ahmedabad,
34,HYD,,SG,Ahmedabad,
35,,DEL,SG,Ahmedabad,
36,BOM,,SG,Ahmedabad,
37,GOI,,SG,Ahmedabad,
38,BLR,,SG,Ahmedabad,
39,,PNQ,SG,Ahmedabad,
40,HYD,,SG,Ahmedabad,
41,HYD,,SG,Ahmedabad,
42,,MAA,SG,Ahmedabad,
43,,DEL,SG,Ahmedabad,
44,,DEL,SG,Ahmedabad,
45,BOM,,SG,Ahmedabad,
46,MAA,,SG,Ahmedabad,
47,BLR,,SG,Ahmedabad,
48,DEL,,SG,Ahmedabad,
49,,PNQ,SG,Ahmedabad,
50,,MAA,SG,Ahmedabad,
51,BLR,,SG,Ahmedabad,
52,,BLR,SG,Ahmedabad,
53,PNQ,,SG,Ahmedabad,
54,,BOM,SG,Ahmedabad,
55,BOM,,SG,Ahmedabad,
56,BOM,,SG,Amritsar,
57,BOM,,SG,Amritsar,
58,,BOM,SG,Amritsar,
59,,BOM,SG,Amritsar,
60,DEL,,SG,Amritsar,
61,,DEL,SG,Amritsar,
62,CCU,,SG,Bagdogra,
63,,CCU,SG,Bagdogra,
64,BOM,,SG,Bagdogra,
65,,BOM,SG,Bagdogra,
66,CCU,,SG,Bagdogra,
67,,CCU,SG,Bagdogra,
68,BLR,,SG,Bagdogra,
69,DEL,,SG,Bagdogra,
70,,BLR,SG,Bagdogra,
71,,DEL,SG,Bagdogra,
72,DEL,,SG,Bagdogra,
73,,DEL,SG,Bagdogra,
74,AMD,,SG,Bangalore,
75,,BLR,SG,Bangalore,
76,,BOM,SG,Bangalore,
77,BOM,,SG,Bangalore,
78,DEL,,SG,Bangalore,
79,,VGA,SG,Bangalore,
80,,CCU,SG,Bangalore,
81,,DEL,SG,Bangalore,
82,,IXM,SG,Bangalore,
83,MAA,,SG,Bangalore,
84,PNQ,,SG,Bangalore,
85,HYD,,SG,Bangalore,
86,,MAA,SG,Bangalore,
87,,IXE,SG,Bangalore,
88,,BOM,SG,Bangalore,
89,AMD,,SG,Bangalore,
90,MAA,,SG,Bangalore,
91,,AMD,SG,Bangalore,
92,IXM,,SG,Bangalore,
93,,HYD,SG,Bangalore,
94,DEL,,SG,Bangalore,
95,VGA,,SG,Bangalore,
96,,PNY,SG,Bangalore,
97,CCU,,SG,Bangalore,
98,,DEL,SG,Bangalore,
99,CCJ,,SG,Bangalore,
100,IXM,,SG,Bangalore,
101,,CCJ,SG,Bangalore,
102,BOM,,SG,Bangalore,
103,IXE,,SG,Bangalore,
104,AMD,,SG,Bangalore,
105,,PNQ,SG,Bangalore,
106,,CCU,SG,Bangalore,
107,,IXG,SG,Bangalore,
108,IXG,,SG,Bangalore,
109,,VGA,SG,Bangalore,
110,AMD,,SG,Bangalore,
111,CCU,,SG,Bangalore,
112,,CJB,SG,Bangalore,
113,PNY,,SG,Bangalore,
114,,CCU,SG,Bangalore,
115,HYD,,SG,Bangalore,
116,,MAA,SG,Bangalore,
117,,IXB,SG,Bangalore,
118,,COK,SG,Bangalore,
119,,TRV,SG,Bangalore,
120,PAT,,SG,Bangalore,
121,CJB,,SG,Bangalore,
122,VGA,,SG,Bangalore,
123,,IXM,SG,Bangalore,
124,MAA,,SG,Bangalore,
125,,PAT,SG,Bangalore,
126,BOM,,SG,Bangalore,
127,,TRV,SG,Bangalore,
128,,TIR,SG,Bangalore,
129,COK,,SG,Bangalore,
130,,IXE,SG,Bangalore,
131,,BOM,SG,Bangalore,
132,TRV,,SG,Bangalore,
133,,HYD,SG,Bangalore,
134,VGA,,SG,Bangalore,
135,IXE,,SG,Bangalore,
136,,VGA,SG,Bangalore,
137,,AMD,SG,Bangalore,
138,IXM,,SG,Bangalore,
139,PNQ,,SG,Bangalore,
140,TIR,,SG,Bangalore,
141,HYD,,SG,Bangalore,
142,CCU,,SG,Bangalore,
143,IXG,,SG,Bangalore,
144,,IXG,SG,Bangalore,
145,,MAA,SG,Bangalore,
146,TRV,,SG,Bangalore,
147,MAA,,SG,Bangalore,
148,,AMD,SG,Bangalore,
149,,IXE,SG,Bangalore,
150,,CCU,SG,Bangalore,
151,,VGA,SG,Bangalore,
152,IXB,,SG,Bangalore,
153,,RJA,SG,Bangalore,
154,,AMD,SG,Bangalore,
155,,CJB,SG,Bangalore,
156,CCU,,SG,Bangalore,
157,BOM,,SG,Bangalore,
158,,BOM,SG,Bangalore,
159,MAA,,SG,Bangalore,
160,CJB,,SG,Bangalore,
161,IXE,,SG,Bangalore,
162,DEL,,SG,Bangalore,
163,,MAA,SG,Bangalore,
164,,HYD,SG,Bangalore,
165,,DEL,SG,Bangalore,
166,,PNQ,SG,Bangalore,
167,HYD,,SG,Bangalore,
168,VGA,,SG,Bangalore,
169,,MAA,SG,Bangalore,
170,,HYD,SG,Bangalore,
171,RJA,,SG,Bangalore,
172,DEL,,SG,Bangalore,
173,MAA,,SG,Belgaum,
174,,BLR,SG,Belgaum,
175,HYD,,SG,Belgaum,
176,,HYD,SG,Belgaum,
177,BLR,,SG,Belgaum,
178,,BOM,SG,Belgaum,
179,BOM,,SG,Belgaum,
180,,BLR,SG,Belgaum,
181,BLR,,SG,Belgaum,
182,,MAA,SG,Belgaum,
183,DEL,,SG,Chandigarh,
184,,DEL,SG,Chandigarh,
185,SXR,,SG,Chandigarh,
186,,SXR,SG,Chandigarh,
187,,AMD,SG,Chennai,
188,,AMD,SG,Chennai,
189,BOM,,SG,Chennai,
190,PNQ,,SG,Chennai,
191,PNQ,,SG,Chennai,
192,,GOI,SG,Chennai,
193,,PNQ,SG,Chennai,
194,,BOM,SG,Chennai,
195,,BLR,SG,Chennai,
196,,IXM,SG,Chennai,
197,,HYD,SG,Chennai,
198,,DEL,SG,Chennai,
199,,CCJ,SG,Chennai,
200,,BLR,SG,Chennai,
201,HYD,,SG,Chennai,
202,,IXG,SG,Chennai,
203,,COK,SG,Chennai,
204,,TRV,SG,Chennai,
205,,VGA,SG,Chennai,
206,AMD,,SG,Chennai,
207,BLR,,SG,Chennai,
208,IXM,,SG,Chennai,
209,,CJB,SG,Chennai,
210,,TCR,SG,Chennai,
211,BOM,,SG,Chennai,
212,AMD,,SG,Chennai,
213,DEL,,SG,Chennai,
214,,IXM,SG,Chennai,
215,,COK,SG,Chennai,
216,,CJB,SG,Chennai,
217,,CCU,SG,Chennai,
218,VTZ,,SG,Chennai,
219,COK,,SG,Chennai,
220,VGA,,SG,Chennai,
221,,VTZ,SG,Chennai,
222,TRV,,SG,Chennai,
223,,CCU,SG,Chennai,
224,COK,,SG,Chennai,
225,,RJA,SG,Chennai,
226,,GOI,SG,Chennai,
227,,IXZ,SG,Chennai,
228,CJB,,SG,Chennai,
229,TCR,,SG,Chennai,
230,,AMD,SG,Chennai,
231,,VGA,SG,Chennai,
232,IXM,,SG,Chennai,
233,CCJ,,SG,Chennai,
234,CJB,,SG,Chennai,
235,BLR,,SG,Chennai,
236,PAT,,SG,Chennai,
237,,DEL,SG,Chennai,
238,,TCR,SG,Chennai,
239,,BLR,SG,Chennai,
240,CCU,,SG,Chennai,
241,RJA,,SG,Chennai,
242,GAU,,SG,Chennai,
243,,PAT,SG,Chennai,
